index,LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,MiscVal,GarageCars,Fireplaces,BedroomAbvGr,SalePrice
1,9600,1976,1262,1262,0,0,2,1,3,181500
7,10382,1973,1107,1107,983,350,2,2,3,200000
9,7420,1939,991,1077,0,0,1,2,2,118000
12,12968,1962,912,912,0,0,1,0,2,144000
15,6120,1929,832,854,0,0,2,0,2,132000
16,11241,1970,1004,1004,0,700,2,1,2,149000
19,7560,1958,1029,1339,0,0,1,0,3,139000
21,7449,1930,637,1108,0,0,1,1,3,139400
23,4224,1976,1040,1060,0,0,2,1,3,129900
24,8246,1968,1060,1060,0,0,1,1,3,154000
26,7200,1951,900,900,0,0,2,0,3,134800
28,16321,1957,1484,1600,0,0,1,2,2,207500
29,6324,1927,520,520,0,0,1,0,1,68500
31,8544,1966,1228,1228,0,0,1,0,3,149350
37,8532,1954,1297,1297,0,0,2,1,3,153000
38,7922,1953,1057,1057,0,0,1,0,3,109000
41,16905,1959,1350,1328,0,0,1,2,2,170000
42,9180,1983,840,884,0,0,2,0,2,144000
43,9200,1975,938,938,0,0,1,0,3,130250
44,7945,1959,1150,1150,0,0,1,0,3,141000
49,7742,1966,955,955,0,0,1,0,3,127000
50,13869,1997,794,794,676,0,2,0,3,177000
51,6240,1934,816,816,0,400,2,1,3,114500
59,7200,1972,780,780,0,0,1,0,2,124900
61,7200,1920,530,581,530,0,1,0,3,101000
63,10300,1921,576,902,808,0,2,0,3,140000
68,4608,1945,747,747,0,0,1,0,2,80000
70,13651,1973,2223,2223,0,0,2,2,3,244000
71,7599,1982,845,845,0,0,2,0,2,129500
73,10200,1954,1086,1086,0,0,2,0,3,144900
74,5790,1915,840,840,765,0,1,0,3,107400
76,8475,1956,952,952,0,0,1,0,2,135750
79,10440,1910,440,682,548,0,2,0,2,110000
80,13000,1968,896,1182,960,0,1,1,4,193500
92,13360,1921,876,964,0,0,2,0,2,163500
95,9765,1993,680,680,790,480,2,1,3,185000
100,10603,1977,1610,1610,0,0,2,2,3,205000
106,10800,1885,641,1047,0,450,1,0,2,100000
108,8500,1919,793,997,520,0,0,0,3,115000
109,11751,1977,1844,1844,0,0,2,1,3,190000
122,9464,1958,1080,1080,0,0,1,0,3,136000
125,6780,1935,520,520,0,0,0,0,2,84500
127,4388,1930,672,840,0,0,0,1,3,87000
129,8973,1958,1008,1053,0,0,2,0,3,150000
130,14200,1966,924,1216,941,0,2,2,4,226000
132,7388,1959,1063,1327,0,0,2,0,3,150750
134,10335,1968,1461,1721,0,0,2,1,3,180000
135,10400,1970,1304,1682,0,0,2,1,3,174000
146,6120,1931,715,875,0,0,1,0,2,105000
150,10356,1975,969,969,0,0,2,0,3,122000
153,13500,1960,1602,1252,0,0,2,1,1,235000
156,7200,1950,0,1040,0,0,2,0,2,109500
160,11120,1984,1232,1232,0,0,2,0,3,162500
163,5500,1956,882,882,0,0,0,0,1,103200
164,5400,1926,1149,1149,467,0,1,0,3,152000
165,10106,1940,644,808,547,0,0,0,4,127500
169,16669,1981,1686,1707,0,0,2,1,2,228000
170,12358,1941,720,854,0,0,2,0,2,128500
172,5306,1987,1064,1064,703,0,2,1,2,239000
175,12615,1950,1202,2158,0,0,2,1,4,243000
179,8520,1923,968,968,0,0,2,0,2,100000
181,7588,1920,793,901,901,0,1,1,4,200100
182,9060,1957,0,1340,0,0,1,1,3,120000
184,7438,1908,504,936,316,0,2,0,3,127000
187,10410,1916,660,808,704,0,1,0,3,135000
191,7472,1972,725,725,754,0,2,0,4,184000
194,7180,1972,864,864,0,0,1,0,3,127000
195,2280,1976,855,855,601,0,2,1,3,148500
198,5520,1912,755,929,929,0,0,0,5,104000
201,10125,1977,1196,1279,0,0,2,2,3,171500
202,7000,1924,617,865,445,0,1,0,2,112000
204,3500,1947,720,720,564,0,1,0,2,110000
209,8250,1964,1092,1092,0,0,2,0,3,145000
210,5604,1925,864,864,0,0,0,0,2,98000
214,10900,1977,689,689,703,450,1,0,3,161750
215,10011,1957,1070,1236,0,0,1,1,2,134450
222,11475,1975,713,811,741,0,2,1,3,179900
223,10500,1971,864,864,0,0,2,0,2,97000
227,1869,1970,483,483,504,0,1,0,2,106000
230,8760,1959,1194,1194,0,0,1,0,3,148000
233,10650,1976,894,894,0,0,1,0,3,128200
237,9453,1993,996,1014,730,0,2,0,3,194500
241,3880,1945,686,866,0,0,0,0,2,110500
243,10762,1980,626,626,591,0,1,1,3,120000
246,9142,1910,1020,908,1020,0,1,0,4,137000
253,9350,1964,1302,1302,0,0,1,0,3,158000
254,8400,1957,1314,1314,0,0,1,0,3,145000
262,8471,1977,506,1212,0,0,2,1,3,151000
263,5500,1929,926,926,0,0,2,0,3,130000
265,12090,1981,1422,1422,0,0,2,1,3,175500
267,8400,1939,720,1052,720,0,1,1,4,179500
268,6900,1940,740,778,0,0,1,1,2,120500
269,7917,1976,1143,1113,0,0,1,1,3,148000
271,39104,1954,1385,1363,0,0,2,2,2,241500
273,9600,1958,1240,1632,0,0,1,1,3,139000
274,8314,1982,816,816,0,0,1,0,2,124500
275,7264,1925,952,952,596,0,2,0,3,205000
280,11287,1989,807,1175,807,0,2,1,3,228500
286,9786,1962,912,1085,649,0,2,1,3,159000
289,8730,1915,698,698,698,0,1,0,3,153575
291,5687,1912,780,936,780,0,0,0,6,135900
293,16659,1977,795,1468,795,0,2,1,3,235000
295,7937,1984,1003,1003,0,0,2,0,3,142500
298,11700,1968,702,1041,702,0,2,1,3,175000
299,14000,1950,1092,1152,0,0,1,1,3,158500
303,9800,1972,894,894,0,0,2,0,3,149900
307,7920,1920,319,1035,371,0,0,0,3,89500
311,8000,1948,972,972,0,0,1,1,2,132000
312,7800,1939,793,793,325,0,2,1,3,119900
314,9600,1925,728,832,809,0,2,1,3,178000
323,5820,1955,1162,1163,0,0,1,0,3,126175
324,11275,1967,710,1898,1080,0,2,1,5,242000
325,5000,1941,720,803,0,0,2,0,2,87000
328,11888,1916,844,1445,689,0,2,0,5,214500
331,8176,1958,1056,1056,0,0,1,0,3,139000
335,164660,1965,1499,1619,167,700,2,2,3,228950
338,14145,1984,1208,1621,0,400,2,0,3,202500
339,12400,1958,1215,1215,0,0,1,0,3,155000
346,12772,1960,958,958,0,15500,1,0,2,151500
352,9084,1941,616,616,495,0,1,0,3,95000
353,8520,1928,624,720,0,0,2,0,2,105900
356,9248,1992,1158,1167,0,0,2,0,3,173000
360,7540,1978,888,912,0,0,2,1,2,156000
363,1680,1972,483,483,504,0,1,0,2,118000
365,10690,1920,672,672,672,0,1,0,3,147000
368,7800,1954,1268,1268,0,0,1,1,2,132000
369,9830,1959,1063,1287,0,0,2,1,3,162000
373,10634,1953,608,1319,0,0,1,0,3,123000
380,5000,1924,1026,1026,665,0,1,1,3,127000
387,7200,1976,1041,1125,0,0,1,1,3,125000
390,8405,1900,861,961,406,0,1,0,4,119000
392,8339,1959,0,882,0,1200,1,0,3,106500
394,10134,1940,735,735,299,0,1,0,2,109000
395,9571,1956,1144,1144,0,0,1,0,3,129000
402,10200,1940,672,672,0,0,1,0,2,108000
407,15576,1915,840,840,840,0,1,0,4,177000
413,8960,1927,1008,1028,0,0,2,1,2,115000
416,7844,1978,672,672,728,0,2,1,3,149500
417,22420,1918,1370,1370,1254,0,3,1,4,239000
418,8160,1940,756,756,378,0,1,0,3,126000
419,8450,1968,1056,1056,0,0,1,1,3,142000
421,16635,1977,1602,1602,0,0,2,1,3,215000
425,3378,1946,651,707,682,0,1,2,3,135000
427,8593,1957,907,907,0,0,1,0,3,109008
431,5586,1920,901,1088,110,0,0,0,4,79900
434,1890,1972,630,630,0,0,0,0,1,81000
435,10667,1996,799,827,834,0,2,1,3,212000
436,4400,1920,648,734,384,0,2,0,2,116000
437,6000,1926,884,904,0,0,1,0,2,119000
